Movie;Month;Day;Release Year;Budget($M);Domestic Gross($M);Worldwide Gross($M);Votes;Rating
X-Men: Days of Future Past;May;23;2014;200;233.921534;747.862775;16232;8.9
The Amazing Spider-Man 2;May;2;2014;200;202.853933;708.996336;99636;7.4
Captain America: The Winter Soldier;Apr;4;2014;170;259.746958;714.401889;141817;8.2
Godzilla;May;16;2014;160;200.676069;529.076069;125409;5.3
How to Train Your Dragon 2;Jun;13;2014;145;177.002924;616.102924;750;8.7
Mr. Peabody & Sherman;Mar;7;2014;145;111.50643;269.80643;12085;7.1
Rio 2;Apr;11;2014;130;131.538435;493.738435;12182;6.7
Noah;Mar;28;2014;130;101.200044;352.831065;55824;6.4
Teenage Mutant Ninja Turtles;Aug;8;2014;125;191.204754;485.004754;54530;6.7
RoboCop;Feb;12;2014;120;58.607007;242.981799;138243;7.5
300: Rise of an Empire;Mar;7;2014;110;106.580051;330.780051;84228;6.7
Hercules;Jul;25;2014;100;72.688614;243.388614;1971;3.5
Transcendence;Apr;18;2014;100;23.022309;103.039258;19219;6.4
Divergent;Mar;21;2014;85;150.947895;276.014965;59822;7.4
Fury;Oct;17;2014;80;85.755593;211.755593;6957;7.9
Pompeii;Feb;21;2014;80;23.169033;108.469033;31384;5.8
The Monuments Men;Feb;7;2014;70;78.03162;158.702748;38283;6.1
The Legend of Hercules;Jan;10;2014;70;18.848538;61.402445;22979;4.2
Need for Speed;Mar;14;2014;66;43.568507;194.169619;32359;7.2
Annie;Dec;19;2014;65;85.911262;139.840525;22107;6.4
I, Frankenstein;Jan;24;2014;65;19.07529;74.57529;27568;5.2
The Lego Movie;Feb;7;2014;60;257.784718;457.729388;74445;8.2
Jack Ryan: Shadow Recruit;Jan;17;2014;60;50.577412;131.377412;32011;6.2
Winter's Tale;Feb;14;2014;60;12.600231;22.46862;9164;6.2
Muppets Most Wanted;Mar;21;2014;55;51.178893;79.312301;7036;7
Non-Stop;Feb;28;2014;50;91.74216;212.74216;40810;7.3
